Epoch: 42, Train Loss: 0.3762556899338961, Val Loss: 0.7138295869032542, Took 0:01:11.494255, ETA: 1:09:06.666790

Epoch: 43, Train Loss: 0.3122678527608514, Val Loss: 0.32174158096313477, Took 0:01:11.318340, ETA: 1:07:45.145380

Epoch: 44, Train Loss: 0.41259482577443124, Val Loss: 0.3493822266658147, Took 0:01:11.672932, ETA: 1:06:53.684192

Epoch: 45, Train Loss: 0.3793011519126594, Val Loss: 0.38605712354183197, Took 0:01:11.401029, ETA: 1:05:27.056595

Epoch: 46, Train Loss: 0.2789276729337871, Val Loss: 0.35856998960177106, Took 0:01:11.090839, ETA: 1:03:58.905306

Epoch: 47, Train Loss: 0.40018918868154285, Val Loss: 0.331341873233517, Took 0:01:11.043220, ETA: 1:02:45.290660

Epoch: 48, Train Loss: 0.2561059615574777, Val Loss: 0.5019546498854955, Took 0:01:11.364825, ETA: 1:01:50.970900

Epoch: 49, Train Loss: 0.3620426543056965, Val Loss: 0.43194133043289185, Took 0:01:11.716440, ETA: 1:00:57.538440

Epoch: 50, Train Loss: 0.38461736403405666, Val Loss: 0.3787223647038142, Took 0:01:13.191408, ETA: 1:00:59.570400

Epoch: 51, Train Loss: 0.23362615685909988, Val Loss: 0.3157939687371254, Took 0:01:12.193348, ETA: 0:58:57.474052

Epoch: 52, Train Loss: 0.26730539593845604, Val Loss: 0.8860011572639147, Took 0:01:14.703833, ETA: 0:59:45.783984

Epoch: 53, Train Loss: 0.26314911879599096, Val Loss: 0.48589152097702026, Took 0:01:13.095364, ETA: 0:57:15.482108

Epoch: 54, Train Loss: 0.31005092766135933, Val Loss: 0.20806811253229776, Took 0:01:14.364563, ETA: 0:57:00.769898

Epoch: 55, Train Loss: 0.236511177290231, Val Loss: 0.3409883876641591, Took 0:01:13.424635, ETA: 0:55:04.108575

Epoch: 56, Train Loss: 0.35630401531234385, Val Loss: 0.33219336221615475, Took 0:01:12.897790, ETA: 0:53:27.502760

Epoch: 57, Train Loss: 0.43976227194070816, Val Loss: 0.3045782546202342, Took 0:01:11.217952, ETA: 0:51:02.371936

Epoch: 58, Train Loss: 0.27905713617801664, Val Loss: 0.3902082294225693, Took 0:01:10.253876, ETA: 0:49:10.662792

Epoch: 59, Train Loss: 0.2548817045986652, Val Loss: 0.29829532497872907, Took 0:01:11.330874, ETA: 0:48:44.565834

Epoch: 60, Train Loss: 0.2830030512064695, Val Loss: 0.28908035655816394, Took 0:01:10.575136, ETA: 0:47:03.005440

Epoch: 61, Train Loss: 0.3335069440305233, Val Loss: 0.45216967662175495, Took 0:01:11.086544, ETA: 0:46:12.375216

Epoch: 62, Train Loss: 0.3387881465256214, Val Loss: 0.815675417582194, Took 0:01:11.060799, ETA: 0:45:00.310362

Epoch: 63, Train Loss: 0.2722754112444818, Val Loss: 0.4664161552985509, Took 0:01:11.381958, ETA: 0:44:01.132446

Epoch: 64, Train Loss: 0.29381996248848735, Val Loss: 0.31256451706091565, Took 0:01:11.360801, ETA: 0:42:48.988836

Epoch: 65, Train Loss: 0.39756715279072524, Val Loss: 0.3624749034643173, Took 0:01:12.560360, ETA: 0:42:19.612600

Epoch: 66, Train Loss: 0.39696070924401283, Val Loss: 0.32577842970689136, Took 0:01:12.966539, ETA: 0:41:20.862326

Epoch: 67, Train Loss: 0.30893849562853576, Val Loss: 0.1557887407640616, Took 0:01:13.214133, ETA: 0:40:16.066389

Epoch: 68, Train Loss: 0.29907247573137286, Val Loss: 0.3862774570782979, Took 0:01:11.509772, ETA: 0:38:08.312704

Epoch: 69, Train Loss: 0.36016956381499765, Val Loss: 0.4563588301340739, Took 0:01:12.945482, ETA: 0:37:41.309942

Epoch: 70, Train Loss: 0.2905634672380984, Val Loss: 0.4621877471605937, Took 0:01:16.989146, ETA: 0:38:29.674380

Epoch: 71, Train Loss: 0.27338778488337995, Val Loss: 0.13286528984705606, Took 0:01:12.464285, ETA: 0:35:01.464265

Epoch: 72, Train Loss: 0.2648040659725666, Val Loss: 0.26006755977869034, Took 0:01:11.572620, ETA: 0:33:24.033360

Epoch: 73, Train Loss: 0.34181650131940844, Val Loss: 0.16387955844402313, Took 0:01:11.395282, ETA: 0:32:07.672614

Epoch: 74, Train Loss: 0.2713249963708222, Val Loss: 0.2683861789604028, Took 0:01:11.639870, ETA: 0:31:02.636620

Epoch: 75, Train Loss: 0.24246943308971822, Val Loss: 0.942673534154892, Took 0:01:12.015626, ETA: 0:30:00.390650

Epoch: 76, Train Loss: 0.4532520955428481, Val Loss: 0.21666191890835762, Took 0:01:11.042486, ETA: 0:28:25.019664

Epoch: 77, Train Loss: 0.4228569511324167, Val Loss: 0.36814070989688236, Took 0:01:10.404472, ETA: 0:26:59.302856

Epoch: 78, Train Loss: 0.31989152831956746, Val Loss: 0.46124878029028576, Took 0:01:09.036458, ETA: 0:25:18.802076

Epoch: 79, Train Loss: 0.3091659707948565, Val Loss: 0.35956856949875754, Took 0:01:10.800267, ETA: 0:24:46.805607

Epoch: 80, Train Loss: 0.3474966435693204, Val Loss: 0.26822224756081897, Took 0:01:10.564553, ETA: 0:23:31.291060

Epoch: 81, Train Loss: 0.30524007948115467, Val Loss: 0.37745775903264683, Took 0:01:10.667849, ETA: 0:22:22.689131

Epoch: 82, Train Loss: 0.3417249256744981, Val Loss: 0.3668990855415662, Took 0:01:10.345353, ETA: 0:21:06.216354

Epoch: 83, Train Loss: 0.3046464673243463, Val Loss: 0.35258011023203534, Took 0:01:10.612832, ETA: 0:20:00.418144

Epoch: 84, Train Loss: 0.2745821381919086, Val Loss: 0.5748482247193655, Took 0:01:10.348674, ETA: 0:18:45.578784

Epoch: 85, Train Loss: 0.28783974032849075, Val Loss: 0.17385868479808173, Took 0:01:11.735971, ETA: 0:17:56.039565

Epoch: 86, Train Loss: 0.2897494205273688, Val Loss: 0.3444501645863056, Took 0:01:11.156189, ETA: 0:16:36.186646

Epoch: 87, Train Loss: 0.3398397963959724, Val Loss: 0.8348387827475866, Took 0:01:10.977279, ETA: 0:15:22.704627

Epoch: 88, Train Loss: 0.33509447309188545, Val Loss: 0.351169116795063, Took 0:01:10.953173, ETA: 0:14:11.438076

Epoch: 89, Train Loss: 0.20229256683960556, Val Loss: 0.2838671455780665, Took 0:01:10.951644, ETA: 0:13:00.468084

Epoch: 90, Train Loss: 0.16448438111692668, Val Loss: 0.5011585851510366, Took 0:01:11.405490, ETA: 0:11:54.054900

Epoch: 91, Train Loss: 0.36311496573034674, Val Loss: 0.19152000670631728, Took 0:01:11.536594, ETA: 0:10:43.829346

Epoch: 92, Train Loss: 0.16444640690460802, Val Loss: 0.29389266669750214, Took 0:01:13.477710, ETA: 0:09:47.821680

Epoch: 93, Train Loss: 0.35432909466326235, Val Loss: 0.3200910308708747, Took 0:01:11.261495, ETA: 0:08:18.830465

Epoch: 94, Train Loss: 0.34728485997766256, Val Loss: 0.4414366881052653, Took 0:01:11.102657, ETA: 0:07:06.615942

Epoch: 95, Train Loss: 0.2740431012585759, Val Loss: 0.4327036092678706, Took 0:01:11.309237, ETA: 0:05:56.546185

Epoch: 96, Train Loss: 0.2619396118680015, Val Loss: 0.16967823604742685, Took 0:01:11.197703, ETA: 0:04:44.790812

Epoch: 97, Train Loss: 0.35308776386082175, Val Loss: 0.3744209539145231, Took 0:01:13.405619, ETA: 0:03:40.216857

Epoch: 98, Train Loss: 0.34616853166371586, Val Loss: 0.34286879003047943, Took 0:01:13.852009, ETA: 0:02:27.704018

Epoch: 99, Train Loss: 0.22865504540968687, Val Loss: 0.3301375061273575, Took 0:01:12.051337, ETA: 0:01:12.051337

Epoch: 100, Train Loss: 0.22743095336481928, Val Loss: 0.26123171237607795, Took 0:01:10.554496, ETA: 0:00:00

